analysis,chr,gwaa_hit_bp,gene_start_bp,gene_end_bp,gene_id,gene_name,gene_biotype
"Main effect, DEBVs",5,17832805,17797032,17820349,ENSBTAG00000018180,C5H12orf50,protein_coding
"Main effect, DEBVs",5,17833896,17797032,17820349,ENSBTAG00000018180,C5H12orf50,protein_coding
"Main effect, DEBVs",5,17840553,17797032,17820349,ENSBTAG00000018180,C5H12orf50,protein_coding
"Main effect, DEBVs",5,17847420,17797032,17820349,ENSBTAG00000018180,C5H12orf50,protein_coding
"Main effect, meta-analysis",5,17775869,17797032,17820349,ENSBTAG00000018180,C5H12orf50,protein_coding
"Main effect, meta-analysis",5,17780338,17797032,17820349,ENSBTAG00000018180,C5H12orf50,protein_coding
"Main effect, meta-analysis",5,17786279,17797032,17820349,ENSBTAG00000018180,C5H12orf50,protein_coding
"Main effect, meta-analysis",5,17790219,17797032,17820349,ENSBTAG00000018180,C5H12orf50,protein_coding
"Main effect, meta-analysis",5,17798423,17797032,17820349,ENSBTAG00000018180,C5H12orf50,protein_coding
"Main effect, meta-analysis",5,17828045,17797032,17820349,ENSBTAG00000018180,C5H12orf50,protein_coding
"Main effect, meta-analysis",5,17830803,17797032,17820349,ENSBTAG00000018180,C5H12orf50,protein_coding
"Main effect, meta-analysis",5,17832805,17797032,17820349,ENSBTAG00000018180,C5H12orf50,protein_coding
"Main effect, meta-analysis",5,17833896,17797032,17820349,ENSBTAG00000018180,C5H12orf50,protein_coding
"Main effect, meta-analysis",5,17840553,17797032,17820349,ENSBTAG00000018180,C5H12orf50,protein_coding
"Main effect, meta-analysis",5,17847420,17797032,17820349,ENSBTAG00000018180,C5H12orf50,protein_coding
"Main effect, DEBVs",5,17780338,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, DEBVs",5,17786279,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, DEBVs",5,17790219,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, DEBVs",5,17798423,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, DEBVs",5,17828045,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, DEBVs",5,17830803,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, DEBVs",5,17832805,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, DEBVs",5,17833896,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, DEBVs",5,17840553,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, DEBVs",5,17847420,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, meta-analysis",5,17780338,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, meta-analysis",5,17786279,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, meta-analysis",5,17790219,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, meta-analysis",5,17798423,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, meta-analysis",5,17828045,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, meta-analysis",5,17830803,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, meta-analysis",5,17832805,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, meta-analysis",5,17833896,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, meta-analysis",5,17840553,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, meta-analysis",5,17847420,17826548,17837426,ENSBTAG00000018743,C5H12orf29,protein_coding
"Main effect, DEBVs",5,17790219,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, DEBVs",5,17798423,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, DEBVs",5,17828045,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, DEBVs",5,17830803,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, DEBVs",5,17832805,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, DEBVs",5,17833896,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, DEBVs",5,17840553,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, DEBVs",5,17847420,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, DEBVs",5,17897777,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, DEBVs",5,17899649,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, DEBVs",5,17902402,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, DEBVs",5,17909902,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, DEBVs",5,17928377,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, meta-analysis",5,17790219,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, meta-analysis",5,17798423,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, meta-analysis",5,17828045,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, meta-analysis",5,17830803,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, meta-analysis",5,17832805,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, meta-analysis",5,17833896,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, meta-analysis",5,17840553,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, meta-analysis",5,17847420,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, meta-analysis",5,17897777,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, meta-analysis",5,17899649,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, meta-analysis",5,17902402,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, meta-analysis",5,17909902,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, meta-analysis",5,17928377,17836747,17895641,ENSBTAG00000018745,CEP290,protein_coding
"Main effect, DEBVs",5,17828045,17849488,17850498,ENSBTAG00000052837,,protein_coding
"Main effect, DEBVs",5,17830803,17849488,17850498,ENSBTAG00000052837,,protein_coding
"Main effect, DEBVs",5,17832805,17849488,17850498,ENSBTAG00000052837,,protein_coding
"Main effect, DEBVs",5,17833896,17849488,17850498,ENSBTAG00000052837,,protein_coding
"Main effect, DEBVs",5,17840553,17849488,17850498,ENSBTAG00000052837,,protein_coding
"Main effect, DEBVs",5,17847420,17849488,17850498,ENSBTAG00000052837,,protein_coding
"Main effect, DEBVs",5,17897777,17849488,17850498,ENSBTAG00000052837,,protein_coding
"Main effect, DEBVs",5,17899649,17849488,17850498,ENSBTAG00000052837,,protein_coding
"Main effect, meta-analysis",5,17828045,17849488,17850498,ENSBTAG00000052837,,protein_coding
"Main effect, meta-analysis",5,17830803,17849488,17850498,ENSBTAG00000052837,,protein_coding
"Main effect, meta-analysis",5,17832805,17849488,17850498,ENSBTAG00000052837,,protein_coding
"Main effect, meta-analysis",5,17833896,17849488,17850498,ENSBTAG00000052837,,protein_coding
"Main effect, meta-analysis",5,17840553,17849488,17850498,ENSBTAG00000052837,,protein_coding
"Main effect, meta-analysis",5,17847420,17849488,17850498,ENSBTAG00000052837,,protein_coding
"Main effect, meta-analysis",5,17897777,17849488,17850498,ENSBTAG00000052837,,protein_coding
"Main effect, meta-analysis",5,17899649,17849488,17850498,ENSBTAG00000052837,,protein_coding
"Main effect, DEBVs",5,17847420,17897245,17931875,ENSBTAG00000051348,,protein_coding
"Main effect, DEBVs",5,17897777,17897245,17931875,ENSBTAG00000051348,,protein_coding
"Main effect, DEBVs",5,17899649,17897245,17931875,ENSBTAG00000051348,,protein_coding
"Main effect, DEBVs",5,17902402,17897245,17931875,ENSBTAG00000051348,,protein_coding
"Main effect, DEBVs",5,17909902,17897245,17931875,ENSBTAG00000051348,,protein_coding
"Main effect, DEBVs",5,17928377,17897245,17931875,ENSBTAG00000051348,,protein_coding
"Main effect, meta-analysis",5,17847420,17897245,17931875,ENSBTAG00000051348,,protein_coding
"Main effect, meta-analysis",5,17897777,17897245,17931875,ENSBTAG00000051348,,protein_coding
"Main effect, meta-analysis",5,17899649,17897245,17931875,ENSBTAG00000051348,,protein_coding
"Main effect, meta-analysis",5,17902402,17897245,17931875,ENSBTAG00000051348,,protein_coding
"Main effect, meta-analysis",5,17909902,17897245,17931875,ENSBTAG00000051348,,protein_coding
"Main effect, meta-analysis",5,17928377,17897245,17931875,ENSBTAG00000051348,,protein_coding
"Main effect, DEBVs",5,17897777,17943910,17981541,ENSBTAG00000009023,TMTC3,protein_coding
"Main effect, DEBVs",5,17899649,17943910,17981541,ENSBTAG00000009023,TMTC3,protein_coding
"Main effect, DEBVs",5,17902402,17943910,17981541,ENSBTAG00000009023,TMTC3,protein_coding
"Main effect, DEBVs",5,17909902,17943910,17981541,ENSBTAG00000009023,TMTC3,protein_coding
"Main effect, DEBVs",5,17928377,17943910,17981541,ENSBTAG00000009023,TMTC3,protein_coding
"Main effect, meta-analysis",5,17897777,17943910,17981541,ENSBTAG00000009023,TMTC3,protein_coding
"Main effect, meta-analysis",5,17899649,17943910,17981541,ENSBTAG00000009023,TMTC3,protein_coding
"Main effect, meta-analysis",5,17902402,17943910,17981541,ENSBTAG00000009023,TMTC3,protein_coding
"Main effect, meta-analysis",5,17909902,17943910,17981541,ENSBTAG00000009023,TMTC3,protein_coding
"Main effect, meta-analysis",5,17928377,17943910,17981541,ENSBTAG00000009023,TMTC3,protein_coding
"Main effect, DEBVs",5,18235990,18250809,18353485,ENSBTAG00000017549,KITLG,protein_coding
"Main effect, DEBVs",5,18395523,18250809,18353485,ENSBTAG00000017549,KITLG,protein_coding
"Main effect, meta-analysis",5,18235990,18250809,18353485,ENSBTAG00000017549,KITLG,protein_coding
"Main effect, meta-analysis",5,18381204,18250809,18353485,ENSBTAG00000017549,KITLG,protein_coding
"Main effect, meta-analysis",5,18395523,18250809,18353485,ENSBTAG00000017549,KITLG,protein_coding
COJO of main effect meta-analysis,5,18767155,19069363,19074162,ENSBTAG00000053947,,lncRNA
"Main effect, DEBVs",5,19054700,19069363,19074162,ENSBTAG00000053947,,lncRNA
"Main effect, meta-analysis",5,19054700,19069363,19074162,ENSBTAG00000053947,,lncRNA
"Main effect, meta-analysis",5,19210083,19213683,19217415,ENSBTAG00000004587,DUSP6,protein_coding
"Main effect, meta-analysis",5,19210083,19218534,19243519,ENSBTAG00000051903,,lncRNA
"Main effect, meta-analysis",5,19654171,19476824,19607517,ENSBTAG00000009552,ATP2B1,protein_coding
"Main effect, meta-analysis",5,19654171,19619877,19619994,ENSBTAG00000050152,5S_rRNA,rRNA
"GxE meta-analysis, day length",5,20784724,20831998,20833802,ENSBTAG00000007035,CCER1,protein_coding
"GxE meta-analysis, day length",5,20790702,20831998,20833802,ENSBTAG00000007035,CCER1,protein_coding
"GxE meta-analysis, day length",5,20813798,20831998,20833802,ENSBTAG00000007035,CCER1,protein_coding
"GxE meta-analysis, day length",5,20813798,20843517,20884065,ENSBTAG00000007990,EPYC,protein_coding
"GxE meta-analysis, day length",5,20972622,20929215,20936827,ENSBTAG00000014340,KERA,protein_coding
"GxE meta-analysis, day length",5,20972622,20971289,20978528,ENSBTAG00000001745,LUM,protein_coding
"GxE meta-analysis, day length",5,20972622,21014376,21053400,ENSBTAG00000003505,DCN,protein_coding
"GxE meta-analysis, day length",5,21057801,21014376,21053400,ENSBTAG00000003505,DCN,protein_coding
"Main effect, DEBVs",5,22023908,22012139,22016602,ENSBTAG00000020330,BTG1,protein_coding
"Main effect, DEBVs",5,22041056,22012139,22016602,ENSBTAG00000020330,BTG1,protein_coding
"Main effect, meta-analysis",5,22023908,22012139,22016602,ENSBTAG00000020330,BTG1,protein_coding
"Main effect, meta-analysis",5,22041056,22012139,22016602,ENSBTAG00000020330,BTG1,protein_coding
"Main effect, DEBVs",5,22023908,22018683,22029127,ENSBTAG00000051951,,lncRNA
"Main effect, DEBVs",5,22041056,22018683,22029127,ENSBTAG00000051951,,lncRNA
"Main effect, meta-analysis",5,22023908,22018683,22029127,ENSBTAG00000051951,,lncRNA
"Main effect, meta-analysis",5,22041056,22018683,22029127,ENSBTAG00000051951,,lncRNA
"Main effect, meta-analysis",5,22070510,22018683,22029127,ENSBTAG00000051951,,lncRNA
"Main effect, meta-analysis",5,22211430,22143869,22166983,ENSBTAG00000051669,,lncRNA
"Main effect, meta-analysis",5,22211430,22259967,22260655,ENSBTAG00000033600,,protein_coding
"Main effect, DEBVs",5,23457080,23473232,23664529,ENSBTAG00000051267,CRADD,protein_coding
"Main effect, DEBVs",5,23475476,23473232,23664529,ENSBTAG00000051267,CRADD,protein_coding
"Main effect, DEBVs",5,23510833,23473232,23664529,ENSBTAG00000051267,CRADD,protein_coding
"Main effect, DEBVs",5,23513901,23473232,23664529,ENSBTAG00000051267,CRADD,protein_coding
"Main effect, DEBVs",5,23606184,23473232,23664529,ENSBTAG00000051267,CRADD,protein_coding
"Main effect, meta-analysis",5,23457080,23473232,23664529,ENSBTAG00000051267,CRADD,protein_coding
"Main effect, meta-analysis",5,23475476,23473232,23664529,ENSBTAG00000051267,CRADD,protein_coding
"Main effect, meta-analysis",5,23510833,23473232,23664529,ENSBTAG00000051267,CRADD,protein_coding
"Main effect, meta-analysis",5,23513901,23473232,23664529,ENSBTAG00000051267,CRADD,protein_coding
"Main effect, meta-analysis",5,23606184,23473232,23664529,ENSBTAG00000051267,CRADD,protein_coding
"Main effect, DEBVs",5,23606184,23617567,23617946,ENSBTAG00000053589,,protein_coding
"Main effect, meta-analysis",5,23606184,23617567,23617946,ENSBTAG00000053589,,protein_coding
"Main effect, DEBVs",5,24041394,23915775,24071389,ENSBTAG00000011245,PLXNC1,protein_coding
"Main effect, DEBVs",5,24071445,23915775,24071389,ENSBTAG00000011245,PLXNC1,protein_coding
"Main effect, meta-analysis",5,23998565,23915775,24071389,ENSBTAG00000011245,PLXNC1,protein_coding
"Main effect, meta-analysis",5,24041394,23915775,24071389,ENSBTAG00000011245,PLXNC1,protein_coding
"Main effect, meta-analysis",5,24071445,23915775,24071389,ENSBTAG00000011245,PLXNC1,protein_coding
"Main effect, DEBVs",5,24041394,24067009,24067513,ENSBTAG00000052916,,protein_coding
"Main effect, DEBVs",5,24071445,24067009,24067513,ENSBTAG00000052916,,protein_coding
"Main effect, meta-analysis",5,24041394,24067009,24067513,ENSBTAG00000052916,,protein_coding
"Main effect, meta-analysis",5,24071445,24067009,24067513,ENSBTAG00000052916,,protein_coding
"Main effect, DEBVs",5,24041394,24070404,24345243,ENSBTAG00000004484,CEP83,protein_coding
"Main effect, DEBVs",5,24071445,24070404,24345243,ENSBTAG00000004484,CEP83,protein_coding
"Main effect, meta-analysis",5,24041394,24070404,24345243,ENSBTAG00000004484,CEP83,protein_coding
"Main effect, meta-analysis",5,24071445,24070404,24345243,ENSBTAG00000004484,CEP83,protein_coding
"Main effect, meta-analysis",5,24324782,24070404,24345243,ENSBTAG00000004484,CEP83,protein_coding
"Main effect, meta-analysis",5,24324782,24306913,24595494,ENSBTAG00000014375,TMCC3,protein_coding
"Main effect, meta-analysis",5,25126180,25082023,25082633,ENSBTAG00000049200,,protein_coding
"Main effect, meta-analysis",5,25126180,25092752,25123523,ENSBTAG00000019944,METAP2,protein_coding
"Main effect, meta-analysis",5,25126180,25126563,25151506,ENSBTAG00000019946,USP44,protein_coding
"Main effect, meta-analysis",5,25126180,25143973,25144497,ENSBTAG00000010711,,protein_coding
"Main effect, DEBVs",5,25711397,25662272,25683364,ENSBTAG00000013745,ITGA5,protein_coding
"Main effect, meta-analysis",5,25711397,25662272,25683364,ENSBTAG00000013745,ITGA5,protein_coding
"Main effect, DEBVs",5,25711397,25686990,25707964,ENSBTAG00000015604,ZNF385A,protein_coding
"Main effect, meta-analysis",5,25711397,25686990,25707964,ENSBTAG00000015604,ZNF385A,protein_coding
"Main effect, DEBVs",5,25711397,25709927,25711851,ENSBTAG00000015592,GPR84,protein_coding
"Main effect, meta-analysis",5,25711397,25709927,25711851,ENSBTAG00000015592,GPR84,protein_coding
"Main effect, DEBVs",5,25711397,25722716,25742083,ENSBTAG00000005384,COPZ1,protein_coding
"Main effect, meta-analysis",5,25711397,25722716,25742083,ENSBTAG00000005384,COPZ1,protein_coding
"Main effect, DEBVs",5,25711397,25734105,25734194,ENSBTAG00000029852,bta-mir-148b,miRNA
"Main effect, meta-analysis",5,25711397,25734105,25734194,ENSBTAG00000029852,bta-mir-148b,miRNA
"Main effect, DEBVs",5,25711397,25752476,25753595,ENSBTAG00000048717,,pseudogene
"Main effect, meta-analysis",5,25711397,25752476,25753595,ENSBTAG00000048717,,pseudogene
"GxE meta-analysis, day length",5,27371955,27312578,27339251,ENSBTAG00000000619,KRT74,protein_coding
"GxE meta-analysis, day length",5,27371955,27366774,27373266,ENSBTAG00000038384,KRT5,protein_coding
"GxE meta-analysis, day length",5,27371955,27384131,27389818,ENSBTAG00000039425,KRT6A,protein_coding
"GxE meta-analysis, day length",5,27371955,27403486,27408998,ENSBTAG00000038033,KRT6B,protein_coding
"GxE meta-analysis, day length",5,27371955,27420179,27424954,ENSBTAG00000040019,,protein_coding
"GxE meta-analysis, day length",5,47307241,47140111,47474250,ENSBTAG00000033726,GRIP1,protein_coding
"GxE meta-analysis, day length",5,72041300,71806170,72364695,ENSBTAG00000021953,LARGE1,protein_coding
"GxE meta-analysis, day length",5,72048750,71806170,72364695,ENSBTAG00000021953,LARGE1,protein_coding
"GxE meta-analysis, temperature",5,75111711,74969135,75090284,ENSBTAG00000010865,CACNG2,protein_coding
"GxE meta-analysis, temperature",5,75115270,74969135,75090284,ENSBTAG00000010865,CACNG2,protein_coding
"GxE meta-analysis, temperature",5,75117210,74969135,75090284,ENSBTAG00000010865,CACNG2,protein_coding
"GxE meta-analysis, temperature",5,75124656,74969135,75090284,ENSBTAG00000010865,CACNG2,protein_coding
"GxE meta-analysis, temperature",5,75111711,75135020,75158505,ENSBTAG00000026657,IFT27,protein_coding
"GxE meta-analysis, temperature",5,75115270,75135020,75158505,ENSBTAG00000026657,IFT27,protein_coding
"GxE meta-analysis, temperature",5,75117210,75135020,75158505,ENSBTAG00000026657,IFT27,protein_coding
"GxE meta-analysis, temperature",5,75124656,75135020,75158505,ENSBTAG00000026657,IFT27,protein_coding
"GxE meta-analysis, temperature",5,75111711,75145365,75145619,ENSBTAG00000008137,,protein_coding
"GxE meta-analysis, temperature",5,75115270,75145365,75145619,ENSBTAG00000008137,,protein_coding
"GxE meta-analysis, temperature",5,75117210,75145365,75145619,ENSBTAG00000008137,,protein_coding
"GxE meta-analysis, temperature",5,75124656,75145365,75145619,ENSBTAG00000008137,,protein_coding
"GxE meta-analysis, temperature",5,75111711,75159264,75168690,ENSBTAG00000048453,,lncRNA
"GxE meta-analysis, temperature",5,75115270,75159264,75168690,ENSBTAG00000048453,,lncRNA
"GxE meta-analysis, temperature",5,75117210,75159264,75168690,ENSBTAG00000048453,,lncRNA
"GxE meta-analysis, temperature",5,75124656,75159264,75168690,ENSBTAG00000048453,,lncRNA
"GxE meta-analysis, day length",5,85614405,85456819,85627596,ENSBTAG00000048719,,lncRNA
"GxE meta-analysis, day length",5,85615515,85456819,85627596,ENSBTAG00000048719,,lncRNA
"GxE meta-analysis, day length",5,85617851,85456819,85627596,ENSBTAG00000048719,,lncRNA
"GxE meta-analysis, day length",5,85618556,85456819,85627596,ENSBTAG00000048719,,lncRNA
"GxE meta-analysis, day length",5,85623595,85456819,85627596,ENSBTAG00000048719,,lncRNA
"GxE meta-analysis, day length",5,85625094,85456819,85627596,ENSBTAG00000048719,,lncRNA
"GxE meta-analysis, day length",5,85632239,85456819,85627596,ENSBTAG00000048719,,lncRNA
"GxE meta-analysis, day length",5,85647048,85456819,85627596,ENSBTAG00000048719,,lncRNA
"GxE meta-analysis, day length",5,85658099,85456819,85627596,ENSBTAG00000048719,,lncRNA
"GxE meta-analysis, day length",5,93217650,93264607,93328292,ENSBTAG00000013541,LMO3,protein_coding
"GxE meta-analysis, day length",5,93221107,93264607,93328292,ENSBTAG00000013541,LMO3,protein_coding
"GxE meta-analysis, day length",5,93224249,93264607,93328292,ENSBTAG00000013541,LMO3,protein_coding
"GxE meta-analysis, day length",5,93225373,93264607,93328292,ENSBTAG00000013541,LMO3,protein_coding
"GxE meta-analysis, day length",5,93227498,93264607,93328292,ENSBTAG00000013541,LMO3,protein_coding
"GxE meta-analysis, day length",5,93371038,93264607,93328292,ENSBTAG00000013541,LMO3,protein_coding
"GxE meta-analysis, day length",5,97701351,97526603,97700083,ENSBTAG00000011761,LRP6,protein_coding
"GxE meta-analysis, day length",5,97701351,97725269,97748884,ENSBTAG00000047225,BCL2L14,protein_coding
"GxE meta-analysis, day length",6,8225601,8273766,8274902,ENSBTAG00000046440,TRAM1L1,protein_coding
"GxE meta-analysis, day length",6,11582667,11555988,11639287,ENSBTAG00000017808,ARSJ,protein_coding
"GxE meta-analysis, day length",6,11584723,11555988,11639287,ENSBTAG00000017808,ARSJ,protein_coding
"GxE meta-analysis, day length",6,11585420,11555988,11639287,ENSBTAG00000017808,ARSJ,protein_coding
"GxE meta-analysis, day length",6,11859669,11800357,12107600,ENSBTAG00000014463,CAMK2D,protein_coding
"GxE meta-analysis, day length",6,12021019,11800357,12107600,ENSBTAG00000014463,CAMK2D,protein_coding
"GxE meta-analysis, day length",6,12043341,11800357,12107600,ENSBTAG00000014463,CAMK2D,protein_coding
"GxE meta-analysis, day length",6,12446134,12343429,12440341,ENSBTAG00000048956,,protein_coding
"GxE meta-analysis, day length",6,12446134,12399194,12400251,ENSBTAG00000051025,,protein_coding
"GxE meta-analysis, day length",6,12987333,12971034,12982948,ENSBTAG00000009632,LARP7,protein_coding
"GxE meta-analysis, day length",6,12988828,12971034,12982948,ENSBTAG00000009632,LARP7,protein_coding
"GxE meta-analysis, day length",6,12989974,12971034,12982948,ENSBTAG00000009632,LARP7,protein_coding
"GxE meta-analysis, day length",6,12990596,12971034,12982948,ENSBTAG00000009632,LARP7,protein_coding
"GxE meta-analysis, day length",6,12996961,12971034,12982948,ENSBTAG00000009632,LARP7,protein_coding
"GxE meta-analysis, day length",6,12999846,12971034,12982948,ENSBTAG00000009632,LARP7,protein_coding
"GxE meta-analysis, day length",6,12999855,12971034,12982948,ENSBTAG00000009632,LARP7,protein_coding
"GxE meta-analysis, day length",6,13027415,12971034,12982948,ENSBTAG00000009632,LARP7,protein_coding
"GxE meta-analysis, day length",6,12987333,12980214,12980288,ENSBTAG00000036397,bta-mir-302b,miRNA
"GxE meta-analysis, day length",6,12988828,12980214,12980288,ENSBTAG00000036397,bta-mir-302b,miRNA
"GxE meta-analysis, day length",6,12989974,12980214,12980288,ENSBTAG00000036397,bta-mir-302b,miRNA
"GxE meta-analysis, day length",6,12990596,12980214,12980288,ENSBTAG00000036397,bta-mir-302b,miRNA
"GxE meta-analysis, day length",6,12996961,12980214,12980288,ENSBTAG00000036397,bta-mir-302b,miRNA
"GxE meta-analysis, day length",6,12999846,12980214,12980288,ENSBTAG00000036397,bta-mir-302b,miRNA
"GxE meta-analysis, day length",6,12999855,12980214,12980288,ENSBTAG00000036397,bta-mir-302b,miRNA
"GxE meta-analysis, day length",6,13027415,12980214,12980288,ENSBTAG00000036397,bta-mir-302b,miRNA
"GxE meta-analysis, day length",6,12987333,12980357,12980424,ENSBTAG00000036429,bta-mir-302c,miRNA
"GxE meta-analysis, day length",6,12988828,12980357,12980424,ENSBTAG00000036429,bta-mir-302c,miRNA
"GxE meta-analysis, day length",6,12989974,12980357,12980424,ENSBTAG00000036429,bta-mir-302c,miRNA
"GxE meta-analysis, day length",6,12990596,12980357,12980424,ENSBTAG00000036429,bta-mir-302c,miRNA
"GxE meta-analysis, day length",6,12996961,12980357,12980424,ENSBTAG00000036429,bta-mir-302c,miRNA
"GxE meta-analysis, day length",6,12999846,12980357,12980424,ENSBTAG00000036429,bta-mir-302c,miRNA
"GxE meta-analysis, day length",6,12999855,12980357,12980424,ENSBTAG00000036429,bta-mir-302c,miRNA
"GxE meta-analysis, day length",6,13027415,12980357,12980424,ENSBTAG00000036429,bta-mir-302c,miRNA
"GxE meta-analysis, day length",6,12987333,12980768,12980837,ENSBTAG00000036428,bta-mir-302a,miRNA
"GxE meta-analysis, day length",6,12988828,12980768,12980837,ENSBTAG00000036428,bta-mir-302a,miRNA
"GxE meta-analysis, day length",6,12989974,12980768,12980837,ENSBTAG00000036428,bta-mir-302a,miRNA
"GxE meta-analysis, day length",6,12990596,12980768,12980837,ENSBTAG00000036428,bta-mir-302a,miRNA
"GxE meta-analysis, day length",6,12996961,12980768,12980837,ENSBTAG00000036428,bta-mir-302a,miRNA
"GxE meta-analysis, day length",6,12999846,12980768,12980837,ENSBTAG00000036428,bta-mir-302a,miRNA
"GxE meta-analysis, day length",6,12999855,12980768,12980837,ENSBTAG00000036428,bta-mir-302a,miRNA
"GxE meta-analysis, day length",6,13027415,12980768,12980837,ENSBTAG00000036428,bta-mir-302a,miRNA
"GxE meta-analysis, day length",6,12987333,12981071,12981138,ENSBTAG00000029983,bta-mir-367,miRNA
"GxE meta-analysis, day length",6,12988828,12981071,12981138,ENSBTAG00000029983,bta-mir-367,miRNA
"GxE meta-analysis, day length",6,12989974,12981071,12981138,ENSBTAG00000029983,bta-mir-367,miRNA
"GxE meta-analysis, day length",6,12990596,12981071,12981138,ENSBTAG00000029983,bta-mir-367,miRNA
"GxE meta-analysis, day length",6,12996961,12981071,12981138,ENSBTAG00000029983,bta-mir-367,miRNA
"GxE meta-analysis, day length",6,12999846,12981071,12981138,ENSBTAG00000029983,bta-mir-367,miRNA
"GxE meta-analysis, day length",6,12999855,12981071,12981138,ENSBTAG00000029983,bta-mir-367,miRNA
"GxE meta-analysis, day length",6,13027415,12981071,12981138,ENSBTAG00000029983,bta-mir-367,miRNA
"GxE meta-analysis, day length",6,12987333,12992269,13044915,ENSBTAG00000026936,ZGRF1,protein_coding
"GxE meta-analysis, day length",6,12988828,12992269,13044915,ENSBTAG00000026936,ZGRF1,protein_coding
"GxE meta-analysis, day length",6,12989974,12992269,13044915,ENSBTAG00000026936,ZGRF1,protein_coding
"GxE meta-analysis, day length",6,12990596,12992269,13044915,ENSBTAG00000026936,ZGRF1,protein_coding
"GxE meta-analysis, day length",6,12996961,12992269,13044915,ENSBTAG00000026936,ZGRF1,protein_coding
"GxE meta-analysis, day length",6,12999846,12992269,13044915,ENSBTAG00000026936,ZGRF1,protein_coding
"GxE meta-analysis, day length",6,12999855,12992269,13044915,ENSBTAG00000026936,ZGRF1,protein_coding
"GxE meta-analysis, day length",6,13027415,12992269,13044915,ENSBTAG00000026936,ZGRF1,protein_coding
"GxE meta-analysis, day length",6,13027415,13066827,13068319,ENSBTAG00000015259,NEUROG2,protein_coding
"GxE meta-analysis, day length",6,21212621,21203806,21203905,ENSBTAG00000045030,U6,snRNA
"GxE meta-analysis, day length",6,21223728,21203806,21203905,ENSBTAG00000045030,U6,snRNA
"GxE meta-analysis, day length",6,21235926,21203806,21203905,ENSBTAG00000045030,U6,snRNA
"GxE meta-analysis, day length",6,22752595,22695492,23016141,ENSBTAG00000015297,BANK1,protein_coding
"GxE meta-analysis, day length",6,22752595,22702726,22702828,ENSBTAG00000042951,U6,snRNA
"GxE meta-analysis, day length",6,24247534,24210505,24332244,ENSBTAG00000034206,EMCN,protein_coding
